order_id,order_date,region,category,product,unit_price,quantity,discount,revenue,cost,profit,year,month,month_name,quarter,profit_margin,year_quarter,discount_band
12739,2022-01-01,East,Electronics,Laptop,67560.91,4,0.0,270243.64,180116.67,90126.97,2022,1,Jan,1,33.350264968307854,2022-Q1,No Discount
11333,2022-01-01,South,Clothing,Shoes,3496.49,3,0.1,9440.52,6170.39,3270.13,2022,1,Jan,1,34.63929953011063,2022-Q1,6-10%
13337,2022-01-01,North,Sports,Yoga Mat,1446.7,4,0.2,4629.44,2949.53,1679.91,2022,1,Jan,1,36.28754233773416,2022-Q1,16-20%
12115,2022-01-01,South,Furniture,Chair,12420.35,2,0.1,22356.63,17023.33,5333.3,2022,1,Jan,1,23.85556320429331,2022-Q1,6-10%
11105,2022-01-01,Central,Clothing,Jacket,4429.6,2,0.0,8859.2,4496.55,4362.65,2022,1,Jan,1,49.24428842333393,2022-Q1,No Discount
11146,2022-01-02,Central,Food & Beverage,Protein Bar,313.79,5,0.0,1568.95,1054.26,514.69,2022,1,Jan,1,32.80474202492113,2022-Q1,No Discount
12478,2022-01-02,North,Furniture,Table,17547.57,3,0.0,52642.71,36741.69,15901.02,2022,1,Jan,1,30.20554982826682,2022-Q1,No Discount
13009,2022-01-02,East,Food & Beverage,Snack Box,432.55,4,0.0,1730.2,1096.0,634.2,2022,1,Jan,1,36.65472199745694,2022-Q1,No Discount
11397,2022-01-02,North,Food & Beverage,Juice Pack,269.17,4,0.0,1076.68,622.0,454.68,2022,1,Jan,1,42.229817587398294,2022-Q1,No Discount
12455,2022-01-03,West,Clothing,Shoes,3280.76,4,0.0,13123.04,8283.6,4839.44,2022,1,Jan,1,36.87743083919579,2022-Q1,No Discount
14487,2022-01-03,East,Furniture,Bookshelf,8687.54,5,0.15,36922.05,29833.39,7088.66,2022,1,Jan,1,19.198988138524268,2022-Q1,11-15%
13653,2022-01-03,North,Food & Beverage,Tea Set,1880.92,9,0.0,16928.28,10924.63,6003.65,2022,1,Jan,1,35.465209696436965,2022-Q1,No Discount
10751,2022-01-04,Central,Food & Beverage,Tea Set,1745.58,4,0.0,6982.32,3540.86,3441.46,2022,1,Jan,1,49.28820220213339,2022-Q1,No Discount
11276,2022-01-04,North,Electronics,Headphones,8026.0,4,0.15,27288.4,20605.51,6682.89,2022,1,Jan,1,24.489856495800414,2022-Q1,11-15%
13353,2022-01-04,North,Sports,Cycling Helmet,2813.56,4,0.1,10128.82,6951.99,3176.83,2022,1,Jan,1,31.364265531424195,2022-Q1,6-10%
14692,2022-01-04,East,Sports,Dumbbells,3048.03,3,0.05,8686.89,5767.17,2919.72,2022,1,Jan,1,33.61064776922466,2022-Q1,1-5%
13893,2022-01-05,West,Sports,Dumbbells,2963.54,4,0.0,11854.16,6517.21,5336.95,2022,1,Jan,1,45.021747639647174,2022-Q1,No Discount
14241,2022-01-05,North,Electronics,Smart Watch,13659.68,4,0.05,51906.78,36425.16,15481.62,2022,1,Jan,1,29.825814662362028,2022-Q1,1-5%
10640,2022-01-06,North,Food & Beverage,Juice Pack,269.3,3,0.2,646.32,470.41,175.91,2022,1,Jan,1,27.21716796633246,2022-Q1,16-20%
12737,2022-01-06,South,Clothing,T-Shirt,821.45,8,0.2,5257.28,3847.59,1409.69,2022,1,Jan,1,26.814055937671196,2022-Q1,16-20%
14061,2022-01-06,North,Electronics,Smart Watch,14433.47,1,0.0,14433.47,7892.68,6540.79,2022,1,Jan,1,45.31682263516674,2022-Q1,No Discount
14285,2022-01-06,Central,Clothing,Jeans,2183.71,4,0.2,6987.87,4503.33,2484.54,2022,1,Jan,1,35.55504037711062,2022-Q1,16-20%
11521,2022-01-06,South,Furniture,Sofa,46113.95,2,0.15,78393.71,59400.72,18992.99,2022,1,Jan,1,24.227696329208044,2022-Q1,11-15%
14407,2022-01-06,North,Furniture,Bed Frame,23461.45,5,0.0,117307.25,61400.82,55906.43,2022,1,Jan,1,47.65812002241976,2022-Q1,No Discount
14954,2022-01-06,North,Sports,Yoga Mat,1428.91,2,0.05,2714.93,1619.88,1095.05,2022,1,Jan,1,40.33437326192572,2022-Q1,1-5%
13607,2022-01-07,South,Electronics,Tablet,29783.88,5,0.0,148919.4,97681.73,51237.67,2022,1,Jan,1,34.406309721903256,2022-Q1,No Discount
10490,2022-01-07,South,Sports,Yoga Mat,1377.79,4,0.0,5511.16,3234.39,2276.77,2022,1,Jan,1,41.31199239361587,2022-Q1,No Discount
14471,2022-01-07,North,Furniture,Chair,11660.36,4,0.15,39645.22,26350.5,13294.72,2022,1,Jan,1,33.53423186956712,2022-Q1,11-15%
13448,2022-01-07,North,Clothing,Jacket,4548.62,10,0.05,43211.89,23189.32,20022.57,2022,1,Jan,1,46.33578859892497,2022-Q1,1-5%
13466,2022-01-07,South,Furniture,Bookshelf,8723.7,2,0.1,15702.66,12150.68,3551.98,2022,1,Jan,1,22.620243958666876,2022-Q1,6-10%
10497,2022-01-08,North,Furniture,Bookshelf,9428.25,2,0.15,16028.02,10827.83,5200.19,2022,1,Jan,1,32.44436929826641,2022-Q1,11-15%
11300,2022-01-09,East,Electronics,Smart Watch,14349.89,1,0.2,11479.91,7539.25,3940.66,2022,1,Jan,1,34.326575730994406,2022-Q1,16-20%
13641,2022-01-09,North,Food & Beverage,Coffee Beans,1271.17,2,0.05,2415.22,1319.23,1095.99,2022,1,Jan,1,45.37847483873105,2022-Q1,1-5%
11556,2022-01-09,North,Clothing,Dress,3192.62,2,0.2,5108.19,3353.1,1755.09,2022,1,Jan,1,34.35835393750037,2022-Q1,16-20%
11498,2022-01-09,Central,Sports,Running Shoes,4306.37,6,0.15,21962.49,13910.13,8052.36,2022,1,Jan,1,36.66414873723334,2022-Q1,11-15%
10843,2022-01-10,North,Sports,Dumbbells,2716.26,2,0.15,4617.64,3544.06,1073.58,2022,1,Jan,1,23.249538725409515,2022-Q1,11-15%
